Country,Total Confirmed Cases/Population,Recovered/Population,Total Deaths/Population,total_tests/Population,Population Density (Square KM),No. of Doctors per thousands,Per capita CO₂ emissions (tonnes per capita),Average precipitation in depth (mm per year) (mm per year),Population ,HDI INDEX,LITERACY RATE,LIFE EXPENTANCY,total expendature on ealth (% of GDP),Median Age,GDP per capita (int.-$) ($),"Age dependency ratio, old (% of working-age population) (% of working-age population)",Unemployment Rate,"Population, female (% of total) (% of total)","Alcohol consumption (litres per capita) (liters of pure alcohol, projected estimates, 15+ years of age)",Urban population/Population,Urban population,Rural population/Population,Rural population,Animal protein (kilocalories per person per day),Plant protein (kilocalories per person per day),Fat (kilocalories per person per day),Carbohydrates (kilocalories per person per day),"DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: Age-standardized (Rate) (DALYs per 100,000)",Healthcare Expenditure per capita (int.-$) (constant 2011 international $),World Happiness Report 2016 (Cantril Ladder (0=worst; 10=best)),Poor sanitation (deaths),No access to handwashing facility (deaths),Indoor air pollution (deaths),Secondhand smoke (deaths),High blood sugar (deaths),Obesity (deaths),High blood pressure (deaths),Smoking (deaths),Iron deficiency (deaths),Zinc deficiency (deaths),Vitamin-A deficiency (deaths),Air pollution (outdoor & indoor) (deaths),handwashing_facilities,hospital_beds_per_100k,Testing policy (OxBSG),aged_65_older,aged_70_older,extreme_poverty,cvd_death_rate,diabetes_prevalence,Smoker
Mongolia,0.01,0.01,0,2.324,1.98,3.2,9.88,241,3278000,0.74,99.37,69.87,4.93,28.6,11105,6.08,6.96,50.53,7.4,64.14,2102605,29.68,973042,194.12,129.04,813.96,1372.88,37723.54,3225000,5.46,18.01,41.23,691.95,414.24,2325.34,2764.57,5050.11,2933.95,8.26,4.38,25.64,1663.8,71.18,7,1,4.03,2.42,0.5,460.04,4.82,52
Montenegro,2.071,2.04,0.03,11.858,46.28,2.19,4.18,241,628000,0.81,99.72,76.88,6.62,39.1,18244,21.99,16.07,50.66,8,65.89,413800,33.23,208671,252.44,195.84,1186.74,1855.98,23975.99,628000,5.65,0.05,0.51,169.46,220.38,1510.86,977.88,2188.7,1723.68,0.08,0.02,0.12,469.78,0,3.86,1,14.76,9.4,1,387.31,10.08,91.9
Morocco,0.387,0.381,0.007,7.595,80.08,0.62,1.76,346,36911000,0.67,72.71,76.68,6.11,29.6,7613,10.28,9.33,50.47,0.6,59.94,22125659,36.88,13613921,106.56,285.16,624.33,2386.95,31139.91,36472000,4.9,224.73,462.47,681.42,6664.74,51256.41,38977.39,75706.58,18401.83,209.18,17.36,288.23,19695.78,0,1.1,1,6.77,4.21,1,419.15,7.14,47.9
Mozambique,0.031,0.031,0,0.48,37.73,0.62,0.35,1032,31255000,0.44,59.84,60.85,7.18,17.7,1288,6.07,25.04,51.16,2.4,33.66,10519085,61.27,19149749,25.4,157.4,377.28,1722.92,65564.93,30366000,4.65,6869.59,6701.56,12820.77,1617.88,15412.56,6459.33,22172.41,9799.24,748.46,279.92,2094.92,14472.75,12.23,0.7,1,3.16,1.87,62.9,329.94,3.3,34.2
Nepal,0.338,0.336,0.002,3.931,204.43,0.6,0.31,1500,29137000,0.57,65.66,70.78,6,25,2586,9.18,2.74,51.46,2,19.45,5666414,81.13,23638584,45.84,230.76,485.01,1911.39,34963.12,28609000,4.91,5369.36,3552.75,11191.44,3683.8,17698.42,9139.5,24711.28,23557.88,346.91,33.13,333.22,25689.07,47.78,0.3,1,5.81,3.21,15,260.8,7.26,47.3
Netherlands,0.908,0.87,0.038,15.505,508.54,3.42,9.63,778,17135000,0.93,65.66,82.28,11.1,43.2,49254,28.98,4.84,50.24,8.7,91.07,15604089,8.92,1528765,303.08,143.8,1130.67,1650.45,18716.15,17097000,7.46,5.38,44.19,30.82,1783.05,21353.56,11861.43,23499.84,30790.93,1.93,0.31,1.05,6713.65,0,3.32,1,18.78,11.88,0,109.36,5.29,51.7
New Zealand,0.031,0.031,0.001,20.575,18.21,2.85,7.65,1732,4822000,0.92,97.94,82.29,11.23,37.9,34040,23.6,4.88,50.83,10.7,85.96,4145094,13.46,648806,219.24,150.92,1044.45,1722.39,20481.11,4783000,7.37,2.54,11.55,10.12,322.09,3814.43,3587.35,5473.53,4204.82,0.68,0.07,0.08,696.81,0,2.61,2,15.32,9.72,0,128.8,8.08,32
Niger,0.005,0.005,0,0.112,16.96,2.85,0.12,151,24207000,0.35,20.1,62.42,6.02,15.1,906,5.4,0.35,49.86,0.5,14.51,3511546,74.22,17965802,58.92,264.84,473.04,1750.2,54661.16,23311000,5.16,14623.78,12166.55,12318.91,1150.03,6050.77,2552.11,8654.14,1614.27,1008.55,919.33,7263.8,15427.93,8.98,0.3,1,2.55,1.38,44.5,238.34,2.42,15.5
Nigeria,0.029,0.028,0.001,0.264,209.59,2.85,0.56,1150,206140000,0.53,60.57,54.69,3.87,18.1,5323,5.16,7.04,49.33,13.4,45.85,94524992,46.75,96361319,39.4,215.64,507.87,1937.09,53711.82,200964000,5.25,72650.05,86843.92,64226.19,13792.6,46112.12,25869.46,79218.91,13479.01,6057.36,5023.92,38201.78,114114.74,41.95,0,1,2.75,1.45,0,181.01,2.42,11.4
Norway,0.277,0.272,0.005,21.031,14.46,4.42,8.44,1414,5421000,0.95,101,82.4,9.92,39.7,76397,25.72,4.16,49.55,7.5,79.78,4324609,17.66,957614,263.96,179.64,1342.35,1699.05,18648.42,5379000,7.44,4.88,18.87,19.61,387.93,5852.47,3343.84,6934.76,5898.26,0.32,0.04,0.24,1152.87,0,3.6,1,16.82,10.81,0.2,114.32,5.31,40.3
Oman,2.039,2.019,0.02,7.376,14.98,1.54,14.06,125,5107000,0.82,94.97,77.86,3.75,30.7,36883,3.11,3.25,34.16,0.8,75.86,3874061,14.92,762201,182.76,170.24,813.15,1976.85,25096.33,4975000,7.44,1.04,14.26,8.2,274.51,2055.82,2009.29,2798.27,921.58,3.17,0.35,2.22,902.31,97.4,1.6,2,2.36,1.53,0,266.34,12.61,16.1
Pakistan,0.144,0.141,0.003,1.718,255.57,0.81,1.01,494,220892000,0.56,57.44,67.27,2.81,23.5,5250,7.4,4.04,48.63,0.3,32.5,71796554,56.69,125219401,109.04,152.92,674.28,1503.76,45532.53,216564992,5.47,25963.83,20785.24,59080.24,33524.51,161493.51,100934.71,226593.83,128588.53,5287.02,1861.34,7361.33,128004.62,59.61,0.6,2,4.5,2.78,4,423.03,8.35,39.5
Panama,2.736,2.679,0.057,12.2,55.13,0.81,2.45,2928,4315000,0.79,96.04,78.51,8.23,29.7,21538,12.24,4.49,49.89,7.9,63.99,2761013,31,1337574,166.6,151.16,700.56,1714.68,22661.63,4246000,6.28,56.66,60.19,242.43,198.47,2816.28,2103.85,3309.64,1541.89,11.32,4.19,12.76,853.32,0,2.3,1,7.92,5.03,2.2,128.35,8.33,12.3
Paraguay,0.663,0.649,0.014,4.2,17.14,0.81,0.86,1130,7133000,0.7,96.54,74.25,10.01,26.5,8605,9.93,4.61,49.28,7.2,58.54,4175325,36.95,2635972,136.72,146.16,834.66,1471.46,25958.14,7045000,6.28,47.01,101.12,1326.43,665.57,6206.71,4314.69,6477.08,4293.23,28.58,0.25,25.15,2113.02,79.6,1.3,1,6.38,3.83,1.7,199.13,8.27,26.6
Peru,2.543,2.443,0.1,12.142,25.13,0.81,2.01,1738,32972000,0.75,95.37,76.74,5.67,29.1,11540,10.92,3.59,50.05,6.3,75.82,24999015,21.74,7166470,108.16,191.52,460.35,1939.97,21463.49,32510000,5.68,509.1,965.36,3775.03,1527.6,12426.93,12090.74,16083.04,7048.79,102.92,20.32,159.74,9572.58,0,1.6,2,7.15,4.46,3.5,85.76,5.95,4.8
Philippines,0.303,0.297,0.006,3.696,351.87,0.81,1.22,2348,109581000,0.7,97.62,71.23,4.91,25.2,7223,7.57,2.35,49.67,6.6,44.7,48977863,51.05,55940227,99.4,140.32,460.62,1869.66,36379.36,108117000,5.87,1467.36,4213.8,42000.07,21407.09,125938.75,68559.42,137091.32,93737.16,364.89,365.49,2045.77,64386.21,78.46,1,2,4.8,2.66,0,370.44,7.07,48.6
Poland,0.295,0.287,0.008,9.453,124.03,2.27,8.56,600,37847000,0.87,100.79,78.73,6.55,41.8,26002,24.5,4.89,51.71,11.6,60.31,22825379,40.03,15150462,213.08,192.8,1076.13,1968.99,23039.7,37888000,5.87,12.87,67.95,2399.67,7935.86,65170.76,55277.22,87936.19,76482.21,2.2,0.81,4.57,24629.35,0,6.62,1,16.76,10.2,0,227.33,5.91,56.4
Portugal,0.809,0.789,0.02,27.115,112.37,4.43,5.31,854,10197000,0.85,96.43,82.05,9.7,46.2,27726,33.15,8.87,52.67,12.3,65.27,6655095,35.68,3638623,269.12,174.4,1262.88,1770.6,18936.26,10226000,5.92,17.75,51.16,175.11,1557.62,20960.62,10776.83,18892.61,11869.45,1.49,0.19,1.21,4328.69,0,3.39,1,21.5,14.92,0.5,127.84,9.85,46.3
Qatar,4.422,4.414,0.008,28.475,227.32,1.96,49.18,74,2881000,0.86,98.76,80.23,2.39,31.9,139783,1.54,0.12,24.93,2,90.76,2614877,0.84,24334,269.12,174.4,1262.88,1770.6,21363.24,2832000,5.92,0.29,2.62,0.02,75.75,675.62,751.11,590.01,277.06,0.54,0.08,0.48,344.64,0,1.2,1,1.31,0.62,0,176.69,16.52,27.7
Romania,0.757,0.73,0.027,13.658,85.13,1.96,4.06,637,19238000,0.81,99.76,76.05,5.77,43,18913,26.69,4.93,51.55,12.6,54.91,10564196,46.9,9022343,188.84,223.24,927.27,2018.65,26808.12,19365000,6.15,28.23,65.39,3589.94,5869,29894.32,40891.3,92922.26,40499.03,7.05,3.21,32.99,15126.37,0,6.89,3,17.85,11.69,5.7,370.95,9.74,60
Russia,0.863,0.848,0.015,34.027,8.82,4.16,11.76,460,145934000,0.82,100.72,72.58,7.27,39.6,23064,20.78,5.2,53.53,11.7,73.56,107348258,25.45,37146786,224.72,186.64,950.67,1998.97,32178.74,145872000,5.51,122.52,470.68,381.85,37847.86,257065.55,286419.82,562932.92,301067.82,36.43,8.45,10.59,99392.16,0,8.05,3,14.18,9.39,0.1,431.3,6.18,81.7
Rwanda,0.038,0.037,0,3.962,494.87,0.06,0.08,1212,12952000,0.52,72.24,69.02,7.73,20.3,1741,5.23,1.3,50.96,9,16.14,2090690,78.12,10117717,22.36,204.88,213.93,1786.83,40388.02,12627000,3.56,2450.66,2753.31,4237.24,397.85,4631.61,1953.93,5372.27,3787.44,138.29,121.19,698.33,5523.83,4.62,0,3,2.97,1.64,56,191.38,4.28,25.7
Sao Tome and Principe,0.421,0.414,0.007,2.393,212.84,6.36,0.57,3200,219000,0.59,92.75,70.39,8.55,18.7,3640,5.32,13.47,50.2,6.8,67.15,147050,26.15,57277,63.6,148.72,698.76,1488.92,36754.62,215000,3.56,8.61,19.29,71.25,8.99,91.05,72.17,179.55,37.99,2.4,0.27,4.22,105.41,41.34,2.9,1,2.89,2.16,32.3,270.11,2.42,0
Saudi Arabia,0.971,0.957,0.014,19.907,15.32,2.57,19.28,59,34814000,0.85,95.84,75.13,4.88,31.9,47474,4.61,5.52,42.93,0.2,79.12,27543592,15.5,5394621,159.72,206.8,970.83,1917.65,24935.86,34269000,6.36,15.54,128.64,21.98,1570.08,16065.25,17398.96,19469.58,5603.74,20.93,1.73,10.05,8731.61,0,2.7,2,3.3,1.85,0,259.54,17.72,27.2
Senegal,0.091,0.089,0.002,1.117,82.33,0.07,0.59,686,16744000,0.51,56.62,67.94,4.86,18.7,2544,5.56,4.84,50.87,0.7,44.25,7408555,50.42,8442012,61,172.96,643.77,1578.27,41359.13,16296000,4.77,4236.47,3811.33,6068.73,1069.29,8134.96,4447.92,10267.33,2486.5,539.42,117.83,1180.46,7875.02,20.86,0,2,3.01,1.8,38,241.22,2.42,17
Serbia,0.393,0.384,0.009,13.582,80.29,2.46,5.13,686,8737000,0.79,99,76,10.57,41.2,14001,26.24,14.1,51.14,11.1,44.96,3928397,35.41,3093871,159.72,169.16,711.81,1687.31,25468.38,8772000,5.94,6.78,11.41,3611.88,3672.59,28518.7,18549.82,40844.45,24724.3,1.58,0.16,2.05,9902.23,97.72,5.61,1,17.37,0,0,439.42,10.08,77.9
Sierra Leone,0.029,0.028,0.001,0.063,104.7,2.46,0.18,2526,7977000,0.42,49.43,54.7,11.29,19.1,1070,4.58,4.47,50.48,5.7,39.44,3146521,55.29,4410691,59.48,165.04,529.56,1649.92,62171.28,7813000,4.31,3046.36,3107.86,5396.73,903.35,3986.36,2154.35,6783.9,2429.96,396.56,177.95,930.18,6102.43,19.28,0,2,2.54,1.29,52.2,325.72,2.42,50.1
Singapore,0.989,0.988,0,52.519,7915.73,2.28,11.34,2497,5850000,0.93,97.77,83.62,5.12,42.4,67180,17.92,2.02,50.59,2,95.94,5612253,0,0,59.48,165.04,529.56,1649.92,14901.23,5804000,6.37,0.44,30.25,2.35,247.24,2084.7,1558.15,3240.27,2400.2,0.63,0.13,0.14,1318.27,0,2.4,2,12.92,7.05,0,92.24,10.99,33.5
Slovakia,0.288,0.287,0.001,9.677,113.13,3.45,6.5,824,5460000,0.86,97.77,77.54,8.25,41.2,26713,21.66,8.13,51.39,11.5,53.55,2923996,46.08,2515896,139.8,150.24,1016.73,1637.23,23466.23,5457000,6.24,0.79,9.2,144.29,1232.43,7253.28,8379.9,15432.56,8241.24,0.56,0.41,2.42,3144.77,0,5.82,1,15.07,9.17,0.7,287.96,7.29,60.8
Slovenia,0.361,0.354,0.007,12.092,102.62,2.77,7.02,1162,2079000,0.9,100.71,81.32,9.43,44.5,28761,28.89,6.56,50.34,12.6,53.95,1121686,45.46,945062,207.24,177.52,1075.68,1707.56,19703.36,2079000,6.25,0.3,3.35,73.19,370.64,2348.07,2440.61,4284.84,2962.84,0.16,0.02,0.1,915.25,0,4.5,2,19.06,12.93,0,153.49,7.25,45.1
Somalia,0.024,0.023,0.001,0.038,23.5,0.03,0.05,282,15893000,0.9,100.71,57.4,9.43,16.8,28761,5.37,5.98,50.19,0,41.18,6544353,51.58,8198170,207.24,177.52,1075.68,1707.56,62153.35,15443000,6.25,6791.88,6631.36,11072.71,1317.59,9820.69,3145.75,11974.52,4876.43,839.46,391.63,5342.71,12357.46,9.83,0.9,1,2.73,1.5,0,365.77,6.05,0
South Africa,1.158,1.129,0.029,7.317,46.75,0.76,8.05,495,59309000,0.7,95.6,64.13,9,27.3,11949,8.14,27.33,50.92,9.3,62.97,37348247,32.66,19368909,145.52,195.8,752.58,1928.1,45453.02,58558000,4.88,6091.27,7300.4,4365.23,6289,56263.25,44740.23,55646.74,29919.66,262.27,111.98,1457.02,23547.48,43.99,2.32,3,5.34,3.05,18.9,200.38,5.52,41.3
South Korea,0.048,0.047,0.001,0.098,527.97,2.23,12.08,1274,51269000,0.9,79.02,64.13,7.57,43.4,36151,19.16,3.73,49.96,10.2,81.82,41946498,18.57,9519703,184.52,200.28,920.79,2028.41,17236.08,51225000,5.84,27.76,192.62,12.05,3978.67,44262.8,15880.89,30647.66,48052.7,7.43,0.67,1.09,17343.4,0,12.27,3,13.91,8.62,0.2,86,6.8,47.1
South Sudan,0.025,0.024,0,0.108,527.97,2.23,0.15,900,11194000,0.39,32.98,57.85,2.94,19.2,36151,6.27,11.54,49.9,10.2,21.73,2432898,90.61,10142816,184.52,200.28,920.79,2028.41,67989.9,11062000,5.84,7514.26,6860.26,7639.49,920,4873.09,1520.67,5569.63,2379.84,462.31,321.66,3721.24,9073.92,0,0,2,3.44,2.03,0,280.78,10.43,0
Spain,0,0,0,29.28,93.1,3.82,6.07,636,46755000,0.89,99.11,83.57,9.23,45.5,31556,29.5,17.22,50.97,10,79.77,37294880,19.84,9277148,260.6,158.92,1293.39,1461.09,17002.97,46737000,6.51,10.79,101.81,521.8,5132.53,58741.14,41510.4,68975.72,63968.59,4.2,0.44,1.54,17133.28,0,0,1,3.44,2.03,0,280.78,10.43,0
Sri Lanka,0.021,0.021,0,1.466,341.96,0.88,1.11,1712,21413000,0.77,93.61,76.98,3.7,34.1,11118,15.27,4.08,51.94,4.3,18.41,3942265,81.73,17501735,65.24,173.6,447.39,1852.77,22689.15,21324000,4.4,274.74,249.47,5480.36,3075.25,29917.86,11867.04,26360.81,12688.89,19.79,1.97,20.09,8406.54,0,3.6,2,10.07,5.33,0.7,197.09,10.68,27.3
